EpisodeLength,Reward,step,model_number,RunID,Env,Selection,Crossover,LR
200,-1615.7614176364343,0,0,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1334.710145874227,0,1,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1553.2129096349443,0,2,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1289.8032386230018,0,3,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1312.0479141985538,0,4,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1488.0213383476512,0,5,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1411.978201412899,0,6,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1572.6028503777702,0,7,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1253.1753169821707,0,8,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1349.2967068565606,0,9,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1122.6072585793625,0,10,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1434.9370952599404,0,11,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1370.47639568479,0,12,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1314.470992223035,0,13,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1283.4866604950034,0,14,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1647.2760133838306,0,15,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1592.4049138330813,0,16,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1846.5171385624976,0,17,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1410.5025780169235,0,18,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1405.0050471828915,0,19,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1202.6575856212833,0,20,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1465.5069356876888,0,21,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1371.0720110861018,0,22,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1539.168498872624,0,23,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1552.2892609788835,0,24,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1795.3048259952902,0,25,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1052.0478056412978,0,26,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1489.1416250207722,0,27,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1522.835154835451,0,28,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1306.395213896426,0,29,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1576.5812741145462,0,30,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1189.2603570480694,0,31,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1180.954220791191,0,32,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1610.3276127922654,0,33,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1088.3863603484783,0,34,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1165.8003954523654,0,35,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1105.65093083612,0,36,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1832.32464007479,0,37,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-985.4722387455371,0,38,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1489.9660413929773,0,39,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1155.7013696794625,0,40,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1549.735534328307,0,41,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1596.9792123148898,0,42,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1363.5794307399192,0,43,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1355.8098999420974,0,44,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1289.6798546263874,0,45,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
200,-1315.0716620748065,0,46,17,Pendulum-v1,TournamentPolicy,MeanPolicy,DecayingLR
